公司	部门	二级机构	一级机构
集团总部	广东公司管理及监察部	管理及监察中心	集团各中心
集团总部	江西公司管理及监察部	管理及监察中心	集团各中心
集团总部	江苏公司管理及监察部	管理及监察中心	集团各中心
集团总部	山西公司管理及监察部	管理及监察中心	集团各中心
集团总部	重庆公司管理及监察部	管理及监察中心	集团各中心
集团总部	河南公司管理及监察部	管理及监察中心	集团各中心
集团总部	四川公司管理及监察部	管理及监察中心	集团各中心
集团总部	上海公司管理及监察部	管理及监察中心	集团各中心
集团总部	海南公司管理及监察部	管理及监察中心	集团各中心
集团总部	黑龙江公司管理及监察部	管理及监察中心	集团各中心
集团总部	湖北公司管理及监察部	管理及监察中心	集团各中心
集团总部	吉林公司管理及监察部	管理及监察中心	集团各中心
集团总部	北京公司管理及监察部	管理及监察中心	集团各中心
集团总部	北京(天津)公司管理及监察部	管理及监察中心	集团各中心
集团总部	北京(内蒙古)公司管理及监察部	管理及监察中心	集团各中心
集团总部	甘肃公司管理及监察部	管理及监察中心	集团各中心
集团总部	广西公司管理及监察部	管理及监察中心	集团各中心
集团总部	深圳公司管理及监察部	管理及监察中心	集团各中心
集团总部	陕西公司管理及监察部	管理及监察中心	集团各中心
集团总部	福建公司管理及监察部	管理及监察中心	集团各中心
集团总部	预决算审计中心	预决算审计中心	集团各中心
集团总部	安徽公司预决算审计部	预决算审计中心	集团各中心
集团总部	山东公司预决算审计部	预决算审计中心	集团各中心
集团总部	辽宁公司预决算审计部	预决算审计中心	集团各中心
集团总部	湖南公司预决算审计部	预决算审计中心	集团各中心
集团总部	广东公司预决算审计部	预决算审计中心	集团各中心
集团总部	江西公司预决算审计部	预决算审计中心	集团各中心
集团总部	江苏公司预决算审计部	预决算审计中心	集团各中心
集团总部	山西公司预决算审计部	预决算审计中心	集团各中心
集团总部	重庆公司预决算审计部	预决算审计中心	集团各中心
集团总部	河南公司预决算审计部	预决算审计中心	集团各中心
集团总部	四川公司预决算审计部	预决算审计中心	集团各中心
集团总部	海南公司预决算审计部	预决算审计中心	集团各中心
集团总部	黑龙江公司预决算审计部	预决算审计中心	集团各中心
集团总部	湖北公司预决算审计部	预决算审计中心	集团各中心
集团总部	吉林公司预决算审计部	预决算审计中心	集团各中心
集团总部	北京公司预决算审计部	预决算审计中心	集团各中心
集团总部	北京(天津)公司预决算审计部	预决算审计中心	集团各中心
集团总部	北京(内蒙古)公司预决算审计部	预决算审计中心	集团各中心
集团总部	甘肃公司预决算审计部	预决算审计中心	集团各中心
集团总部	广西公司预决算审计部	预决算审计中心	集团各中心
集团总部	深圳公司预决算审计部	预决算审计中心	集团各中心
集团总部	上海公司预决算审计部	预决算审计中心	集团各中心
集团总部	陕西公司预决算审计部	预决算审计中心	集团各中心
集团总部	法律事务中心	法律事务中心	集团各中心
集团总部	合同管理中心	合同管理中心	集团各中心
集团总部	知识产权中心	知识产权中心	集团各中心
集团总部	投资中心	投资中心	集团各中心
集团总部	国际投资中心	国际投资中心	集团各中心
集团总部	第一招投标中心	第一招投标中心	集团各中心
集团总部	第二招投标中心	第二招投标中心	集团各中心
集团总部	第三招投标中心	第三招投标中心	集团各中心
集团总部	招投标监察中心	招投标监察中心	集团各中心
集团总部	营销中心	营销中心	集团各中心
集团总部	营销管理中心	营销管理中心	集团各中心
集团总部	售后服务中心	售后服务中心	集团各中心
集团总部	江苏售后服务部	售后服务中心	集团各中心
集团总部	辽宁售后服务部	售后服务中心	集团各中心
集团总部	深圳售后服务部	售后服务中心	集团各中心
集团总部	四川售后服务部	售后服务中心	集团各中心
集团总部	黑龙江售后服务部	售后服务中心	集团各中心
集团总部	海南售后服务部	售后服务中心	集团各中心
集团总部	吉林售后服务部	售后服务中心	集团各中心
集团总部	河南售后服务部	售后服务中心	集团各中心
集团总部	广西售后服务部	售后服务中心	集团各中心
集团总部	安徽售后服务部	售后服务中心	集团各中心
集团总部	湖南售后服务部	售后服务中心	集团各中心
集团总部	甘肃售后服务部	售后服务中心	集团各中心
集团总部	内蒙古售后服务部	售后服务中心	集团各中心
集团总部	湖北售后服务部	售后服务中心	集团各中心
集团总部	陕西售后服务部	售后服务中心	集团各中心
集团总部	天津售后服务部	售后服务中心	集团各中心
集团总部	广东售后服务部	售后服务中心	集团各中心
集团总部	上海售后服务部	售后服务中心	集团各中心
集团总部	山西售后服务部	售后服务中心	集团各中心
集团总部	江西售后服务部	售后服务中心	集团各中心
集团总部	重庆公司售后服务部	售后服务中心	集团各中心
集团总部	海花岛售后服务部	售后服务中心	集团各中心
集团总部	山东售后服务部	售后服务中心	集团各中心
集团总部	北京售后服务部	售后服务中心	集团各中心
集团总部	福建售后服务部	售后服务中心	集团各中心
集团总部	粤东售后服务部	售后服务中心	集团各中心
集团总部	品牌中心	品牌中心	集团各中心
集团总部	设计成本质量控制中心	设计成本质量控制中心	集团各中心
集团总部	物业管理中心	物业管理中心	集团各中心
集团总部	行政人事部	物业管理中心	集团各中心
集团总部	监察室	物业管理中心	集团各中心
集团总部	品质管理部	物业管理中心	集团各中心
集团总部	信息化部	物业管理中心	集团各中心
集团总部	运营管理部	物业管理中心	集团各中心
集团总部	培训管理部	物业管理中心	集团各中心
集团总部	维保修管理部	物业管理中心	集团各中心
集团总部	应届统招生	物业管理中心	集团各中心
集团总部	互联网社区服务管理中心	互联网社区服务管理中心	集团各中心
集团总部	物业服务管理中心	物业服务管理中心	集团各中心
集团总部	中心领导	健康产业研究中心	集团各中心
集团总部	行政人事中心	健康产业研究中心	集团各中心
集团总部	经营管理中心	健康产业研究中心	集团各中心
集团总部	资本运营中心	健康产业研究中心	集团各中心
集团总部	合同法务中心	健康产业研究中心	集团各中心
集团总部	战略发展中心	健康产业研究中心	集团各中心
集团总部	成本控制中心	健康产业研究中心	集团各中心
集团总部	互联网事业部	健康产业研究中心	集团各中心
集团总部	医美事业部	健康产业研究中心	集团各中心
集团总部	国际医院事业部	健康产业研究中心	集团各中心
集团总部	养老事业部	健康产业研究中心	集团各中心
集团总部	康复医院事业部	健康产业研究中心	集团各中心
集团总部	监察室	健康产业研究中心	集团各中心
集团总部	健康管理事业部	健康产业研究中心	集团各中心
集团总部	天津恒大原辰美容医院	健康产业研究中心	集团各中心
集团总部	健康产业研究中心	健康产业研究中心	集团各中心
集团总部	部门待定	部门待定	不计
香港公司	行政人事部	香港公司	集团各中心
香港公司	资金部	香港公司	集团各中心
香港公司	投资者关系一部	香港公司	集团各中心
香港公司	投资者关系二部	香港公司	集团各中心
香港公司	投资者关系三部	香港公司	集团各中心
建筑设计院	公司领导	建筑设计院	集团各中心
建筑设计院	行政人事部	建筑设计院	集团各中心
建筑设计院	计划管理部	建筑设计院	集团各中心
建筑设计院	总工程师室	建筑设计院	集团各中心
建筑设计院	研发设计部	建筑设计院	集团各中心
建筑设计院	超高层设计管理部	建筑设计院	集团各中心
建筑设计院	公建设计管理部	建筑设计院	集团各中心
建筑设计院	华南设计管理部	建筑设计院	集团各中心
建筑设计院	华中设计管理部	建筑设计院	集团各中心
建筑设计院	华北设计管理部	建筑设计院	集团各中心
建筑设计院	标准化设计管理部	建筑设计院	集团各中心
建筑设计院	设计招标及合同管理部	建筑设计院	集团各中心
建筑设计院	材料设备部	建筑设计院	集团各中心
建筑设计院	图纸审查管理部	建筑设计院	集团各中心
建筑设计院	广东图纸审查部	建筑设计院	集团各中心
建筑设计院	深圳图纸审查部	建筑设计院	集团各中心
建筑设计院	湖南图纸审查部	建筑设计院	集团各中心
建筑设计院	江西图纸审查部	建筑设计院	集团各中心
建筑设计院	海南图纸审查部	建筑设计院	集团各中心
建筑设计院	广西图纸审查部	建筑设计院	集团各中心
建筑设计院	福建图纸审查部	建筑设计院	集团各中心
建筑设计院	粤东图纸审查部	建筑设计院	集团各中心
建筑设计院	四川图纸审查部	建筑设计院	集团各中心
建筑设计院	重庆图纸审查部	建筑设计院	集团各中心
建筑设计院	湖北图纸审查部	建筑设计院	集团各中心
建筑设计院	陕西图纸审查部	建筑设计院	集团各中心
建筑设计院	河南图纸审查部	建筑设计院	集团各中心
建筑设计院	山东图纸审查部	建筑设计院	集团各中心
建筑设计院	江苏图纸审查部	建筑设计院	集团各中心
建筑设计院	安徽图纸审查部	建筑设计院	集团各中心
建筑设计院	上海图纸审查部	建筑设计院	集团各中心
建筑设计院	辽宁图纸审查部	建筑设计院	集团各中心
建筑设计院	吉林图纸审查部	建筑设计院	集团各中心
建筑设计院	山西图纸审查部	建筑设计院	集团各中心
建筑设计院	黑龙江图纸审查部	建筑设计院	集团各中心
建筑设计院	天津图纸审查部	建筑设计院	集团各中心
建筑设计院	甘肃图纸审查部	建筑设计院	集团各中心
建筑设计院	内蒙古图纸审查部	建筑设计院	集团各中心
建筑设计院	北京图纸审查部	建筑设计院	集团各中心
装修设计院	公司领导	装修设计院	集团各中心
装修设计院	行政人事部	装修设计院	集团各中心
装修设计院	研发设计部	装修设计院	集团各中心
装修设计院	公建设计管理部	装修设计院	集团各中心
装修设计院	住宅设计管理部	装修设计院	集团各中心
装修设计院	软装设计管理部	装修设计院	集团各中心
装修设计院	综合管理部	装修设计院	集团各中心
材料设备公司	公司领导	材料设备公司	集团各中心
材料设备公司	行政人事部	材料设备公司	集团各中心
材料设备公司	计划管理部	材料设备公司	集团各中心
材料设备公司	供应商服务管理部	材料设备公司	集团各中心
材料设备公司	采购部	材料设备公司	集团各中心
材料设备公司	合同管理部	材料设备公司	集团各中心
材料设备公司	结算部	材料设备公司	集团各中心
材料设备公司	质量技术监察管理部	材料设备公司	集团各中心
材料设备公司	配送质检部	材料设备公司	集团各中心
材料设备公司	广东配送质检部	材料设备公司	集团各中心
材料设备公司	四川配送质检部	材料设备公司	集团各中心
材料设备公司	重庆配送质检部	材料设备公司	集团各中心
材料设备公司	湖北配送质检部	材料设备公司	集团各中心
材料设备公司	辽宁配送质检部	材料设备公司	集团各中心
材料设备公司	陕西配送质检部	材料设备公司	集团各中心
材料设备公司	山西配送质检部	材料设备公司	集团各中心
材料设备公司	湖南配送质检部	材料设备公司	集团各中心
材料设备公司	江苏配送质检部	材料设备公司	集团各中心
材料设备公司	安徽配送质检部	材料设备公司	集团各中心
材料设备公司	广西配送质检部	材料设备公司	集团各中心
材料设备公司	江西配送质检部	材料设备公司	集团各中心
材料设备公司	山东配送质检部	材料设备公司	集团各中心
材料设备公司	海南配送质检部	材料设备公司	集团各中心
材料设备公司	河南配送质检部	材料设备公司	集团各中心
材料设备公司	吉林配送质检部	材料设备公司	集团各中心
材料设备公司	甘肃配送质检部	材料设备公司	集团各中心
材料设备公司	黑龙江配送质检部	材料设备公司	集团各中心
材料设备公司	深圳配送质检部	材料设备公司	集团各中心
材料设备公司	上海配送质检部	材料设备公司	集团各中心
材料设备公司	北京配送质检部	材料设备公司	集团各中心
材料设备公司	福建配送质检部	材料设备公司	集团各中心
园林集团	公司领导	园林集团	集团各中心
园林集团	行政人事中心	园林集团	集团各中心
园林集团	法律事务中心	园林集团	集团各中心
园林集团	预决算中心	园林集团	集团各中心
园林集团	计划监察中心	园林集团	集团各中心
园林集团	品质管理中心	园林集团	集团各中心
园林集团	采购管理中心	园林集团	集团各中心
园林集团	信息化中心	园林集团	集团各中心
园林集团	园林研发设计院	园林集团	集团各中心
园林集团	副总工程师	园林集团	集团各中心
园林集团	设计院领导分管绿化分院	园林集团	集团各中心
园林集团	设计院领导分管创研分院	园林集团	集团各中心
园林集团	设计院领导分管技术分院	园林集团	集团各中心
园林集团	技术分院	园林集团	集团各中心
园林集团	创研分院	园林集团	集团各中心
园林集团	园建分院	园林集团	集团各中心
园林集团	绿化分院	园林集团	集团各中心
园林集团	项目管理分院	园林集团	集团各中心
园林集团	总监室	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	广东分公司	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	安徽分公司	园林集团	集团各中心
园林集团	环境负责人	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	北京分公司	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	环境负责人	园林集团	集团各中心
园林集团	海南分公司	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	江苏分公司	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	湖北分公司	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
园林集团	分公司领导	园林集团	集团各中心
园林集团	园林部	园林集团	集团各中心
园林集团	采购部	园林集团	集团各中心
园林集团	养护部	园林集团	集团各中心
河南公司	公司领导	河南公司	分公司
河南公司	行政人事部	河南公司	分公司
河南公司	投资部	河南公司	分公司
河南公司	资金部	河南公司	分公司
河南公司	招投标部	河南公司	分公司
河南公司	合同管理部	河南公司	分公司
河南公司	总工室	河南公司	分公司
河南公司	品牌部	河南公司	分公司
河南公司	预决算部	河南公司	分公司
河南公司	采购部	河南公司	分公司
河南公司	省公司开发部	河南公司	分公司
河南公司	省公司开发分部	河南公司	分公司
河南公司	工程管理部	河南公司	分公司
河南公司	省公司营销部	河南公司	分公司
河南公司	郑州恒大山水城销售部	河南公司	分公司
河南公司	郑州恒大绿洲销售部	河南公司	分公司
河南公司	郑州恒大翡翠华庭销售部	河南公司	分公司
河南公司	郑州恒大绿洲工程部	河南公司	分公司
河南公司	郑州恒大山水城工程部	河南公司	分公司
河南公司	郑州恒大翡翠华庭工程部	河南公司	分公司
河南公司	郑州恒大龙湖工程部	河南公司	分公司
河南公司	信阳开发部	河南公司	分公司
河南公司	信阳恒大名都工程部	河南公司	分公司
河南公司	信阳恒大翡翠华庭工程部	河南公司	分公司
河南公司	信阳销售部	河南公司	分公司
河南公司	安阳开发部	河南公司	分公司
河南公司	安阳恒大绿洲工程部	河南公司	分公司
河南公司	安阳销售部	河南公司	分公司
河南公司	洛阳项目	河南公司	分公司
河南公司	洛阳开发部	河南公司	分公司
河南公司	洛阳恒大绿洲工程部	河南公司	分公司
河南公司	洛阳销售部	河南公司	分公司
河南公司	舞钢项目	河南公司	分公司
河南公司	舞钢开发部	河南公司	分公司
河南公司	舞钢销售部	河南公司	分公司
河南公司	平顶山项目	河南公司	分公司
河南公司	平顶山开发部	河南公司	分公司
河南公司	平顶山恒大名都工程部	河南公司	分公司
河南公司	平顶山销售部	河南公司	分公司
河南公司	新乡项目	河南公司	分公司
河南公司	新乡开发部	河南公司	分公司
河南公司	新乡恒大雅苑工程部	河南公司	分公司
河南公司	新乡恒大金碧天下工程部	河南公司	分公司
河南公司	新乡恒大御景湾工程部	河南公司	分公司
河南公司	新乡销售部	河南公司	分公司
河南公司	许昌项目	河南公司	分公司
河南公司	许昌开发部	河南公司	分公司
河南公司	许昌恒大绿洲工程部	河南公司	分公司
河南公司	许昌恒大翡翠华庭工程部	河南公司	分公司
河南公司	许昌销售部	河南公司	分公司
河南公司	漯河项目	河南公司	分公司
河南公司	漯河开发部	河南公司	分公司
河南公司	漯河恒大御景工程部	河南公司	分公司
河南公司	漯河销售部	河南公司	分公司
河南公司	驻马店开发部	河南公司	分公司
河南公司	驻马店恒大名都工程部	河南公司	分公司
河南公司	驻马店销售部	河南公司	分公司
河南公司	商丘项目	河南公司	分公司
河南公司	商丘开发部	河南公司	分公司
河南公司	商丘恒大名都工程部	河南公司	分公司
河南公司	商丘销售部	河南公司	分公司
河南公司	南阳开发部	河南公司	分公司
河南公司	南阳恒大帝景工程部	河南公司	分公司
河南公司	南阳恒大御景湾工程部	河南公司	分公司
河南公司	南阳销售部	河南公司	分公司
山东公司	公司领导	山东公司	分公司
山东公司	行政人事部	山东公司	分公司
山东公司	投资部	山东公司	分公司
山东公司	资金部	山东公司	分公司
山东公司	招投标部	山东公司	分公司
山东公司	合同管理部	山东公司	分公司
山东公司	总工室	山东公司	分公司
山东公司	品牌部	山东公司	分公司
山东公司	预决算部	山东公司	分公司
山东公司	采购部	山东公司	分公司
山东公司	省公司开发部	山东公司	分公司
山东公司	莱芜开发部	山东公司	分公司
山东公司	工程管理部	山东公司	分公司
山东公司	省公司营销部	山东公司	分公司
山东公司	济南恒大绿洲工程部	山东公司	分公司
山东公司	济南恒大奥东新都工程部	山东公司	分公司
山东公司	济南恒大城工程部	山东公司	分公司
山东公司	莱芜恒大金碧天下工程部	山东公司	分公司
山东公司	济南恒大帝景工程部	山东公司	分公司
山东公司	济南恒大龙奥御苑工程部	山东公司	分公司
山东公司	济南恒大东山林语工程部	山东公司	分公司
山东公司	济南恒大睿城工程部	山东公司	分公司
山东公司	西客站片区指挥中心	山东公司	分公司
山东公司	济南恒大雅苑工程部	山东公司	分公司
山东公司	济南恒大翡翠华庭工程部	山东公司	分公司
山东公司	济南恒大金碧新城工程部	山东公司	分公司
山东公司	济南恒大华府工程部	山东公司	分公司
山东公司	济南恒大世纪广场工程部	山东公司	分公司
山东公司	济南恒大御峰工程部	山东公司	分公司
山东公司	济南恒大财富中心工程部	山东公司	分公司
山东公司	青岛项目	山东公司	分公司
山东公司	青岛开发部	山东公司	分公司
山东公司	青岛销售部	山东公司	分公司
山东公司	青岛恒大金沙滩工程部	山东公司	分公司
山东公司	潍坊项目	山东公司	分公司
山东公司	潍坊开发部	山东公司	分公司
山东公司	潍坊销售部	山东公司	分公司
山东公司	潍坊恒大名都工程部	山东公司	分公司
山东公司	潍坊恒大翡翠华庭工程部	山东公司	分公司
山东公司	临沂项目	山东公司	分公司
山东公司	临沂开发部	山东公司	分公司
山东公司	临沂销售部	山东公司	分公司
山东公司	临沂恒大华府工程部	山东公司	分公司
山东公司	临沂恒大绿洲工程部	山东公司	分公司
山东公司	东营项目	山东公司	分公司
山东公司	东营开发部	山东公司	分公司
山东公司	东营销售部	山东公司	分公司
山东公司	东营恒大黄河生态城工程部	山东公司	分公司
山东公司	东营恒大棕榈岛工程部	山东公司	分公司
山东公司	淄博项目	山东公司	分公司
山东公司	淄博开发部	山东公司	分公司
山东公司	淄博销售部	山东公司	分公司
山东公司	淄博恒大帝景工程部	山东公司	分公司
山东公司	济宁项目	山东公司	分公司
山东公司	济宁开发部	山东公司	分公司
山东公司	济宁销售部	山东公司	分公司
山东公司	济宁恒大名都工程部	山东公司	分公司
山东公司	泰安项目	山东公司	分公司
山东公司	泰安开发部	山东公司	分公司
山东公司	泰安销售部	山东公司	分公司
山东公司	泰安恒大城工程部	山东公司	分公司
山东公司	聊城开发部	山东公司	分公司
山东公司	聊城销售部	山东公司	分公司
山东公司	聊城恒大名都工程部	山东公司	分公司
广西公司	公司领导	广西公司	分公司
广西公司	行政人事部	广西公司	分公司
广西公司	投资部	广西公司	分公司
广西公司	资金部	广西公司	分公司
广西公司	招投标部	广西公司	分公司
广西公司	合同管理部	广西公司	分公司
广西公司	总工室	广西公司	分公司
广西公司	品牌部	广西公司	分公司
广西公司	预决算部	广西公司	分公司
广西公司	采购部	广西公司	分公司
广西公司	省公司开发部	广西公司	分公司
广西公司	工程管理部	广西公司	分公司
